,subj_key_resp,subj_key_resp_last,rxn_time,corr_resp,corr_resp_left,running_time,hit,miss,wrong,total_hits,total_wrong,total_skipped,percent_accuracy,avg_rxn_time
63,"[('2', 1.4252637999597937)]",2,1.4252637999597937,2,7,,1,0,0,64,0,0,100.0,1.1093770203024178
64,"[('1', 0.7780400000046939)]",1,0.7780400000046939,1,6,,1,0,0,65,0,0,100.0,1.1042795276824529
65,"[('2', 0.9469644000055268)]",2,0.9469644000055268,2,7,,1,0,0,66,0,0,100.0,1.1018959651418934
66,"[('2', 0.7949657998979092)]",2,0.7949657998979092,2,7,249.5270810999209,1,0,0,67,0,0,100.0,1.097314917899446
67,"[('2', 0.6488338999915868)]",2,0.6488338999915868,2,7,,1,0,0,68,0,0,100.0,1.0907196088125655
68,"[('1', 0.7787022000411525)]",1,0.7787022000411525,1,6,,1,0,0,69,0,0,100.0,1.0861976173810959
69,"[('2', 1.3434690000722185)]",2,1.3434690000722185,2,7,,1,0,0,70,0,0,100.0,1.0898729228481119
70,"[('1', 2.4766352999722585)]",1,2.4766352999722585,1,6,,1,0,0,71,0,0,100.0,1.109404787314649
71,"[('1', 2.0115764000220224)]",1,2.0115764000220224,1,6,,1,0,0,72,0,0,100.0,1.1219349486022514
72,"[('2', 1.8613856000592932)]",2,1.8613856000592932,2,7,267.59061569999903,1,0,0,73,0,0,100.0,1.132064409581115
73,"[('1', 1.4782055000541732)]",1,1.4782055000541732,1,6,,1,0,0,74,0,0,100.0,1.136741991884805
74,"[('1', 1.6781231000786647)]",1,1.6781231000786647,1,6,,1,0,0,75,0,0,100.0,1.1439604066607232
75,"[('2', 1.024826299981214)]",2,1.024826299981214,2,7,,1,0,0,76,0,0,100.0,1.1423928526254665
76,"[('1', 1.0452759999316186)]",1,1.0452759999316186,1,6,,1,0,0,77,0,0,100.0,1.1411315947982736
77,"[('2', 1.41214539995417)]",2,1.41214539995417,2,7,,1,0,0,78,0,0,100.0,1.1446061307618107
78,"[('2', 1.0142549999291077)]",2,1.0142549999291077,2,7,301.6518559999531,1,0,0,79,0,0,100.0,1.1429561164474729
79,"[('1', 0.6335214999271557)]",1,0.6335214999271557,1,6,,1,0,0,80,0,0,100.0,1.1365881837409688
80,"[('1', 0.6764273999724537)]",1,0.6764273999724537,1,6,,1,0,0,81,0,0,100.0,1.1309071864104934
81,"[('2', 1.832221999997273)]",2,1.832221999997273,2,7,,1,0,0,82,0,0,100.0,1.139459806088381
82,"[('1', 1.361097399960272)]",1,1.361097399960272,1,6,,1,0,0,83,0,0,100.0,1.1421301385446687
83,"[('2', 1.2488355999812484)]",2,1.2488355999812484,2,7,,1,0,0,84,0,0,100.0,1.143400441657009
84,"[('2', 1.1471993000013754)]",2,1.1471993000013754,2,7,319.68746409995947,1,0,0,85,0,0,100.0,1.143445134108119
85,"[('1', 1.1782721999334171)]",1,1.1782721999334171,1,6,,1,0,0,86,0,0,100.0,1.1438500999898087
86,"[('1', 1.061099800048396)]",1,1.061099800048396,1,6,,1,0,0,87,0,0,100.0,1.1428989471169189
87,"[('2', 1.0948792999843135)]",2,1.0948792999843135,2,7,,1,0,0,88,0,0,100.0,1.1423532693085938
88,"[('1', 0.9445119000738487)]",1,0.9445119000738487,1,6,,1,0,0,89,0,0,100.0,1.1401303325756191
89,"[('2', 1.6328620999120176)]",2,1.6328620999120176,2,7,,1,0,0,90,0,0,100.0,1.145605129990468
90,"[('2', 1.4297424999531358)]",2,1.4297424999531358,2,7,406.1252837999491,1,0,0,91,0,0,100.0,1.1487275186713763
91,"[('2', 1.11125929991249)]",2,1.11125929991249,2,7,,1,0,0,92,0,0,100.0,1.1483202554239973
92,"[('1', 0.8450382999144495)]",1,0.8450382999144495,1,6,,1,0,0,93,0,0,100.0,1.1450591591281956
93,"[('2', 1.024947899975814)]",2,1.024947899975814,2,7,,1,0,0,94,0,0,100.0,1.1437813797755108
94,"[('1', 0.8986788999754936)]",1,0.8986788999754936,1,6,,1,0,0,95,0,0,100.0,1.1412013536723526
95,"[('1', 1.144511800026521)]",1,1.144511800026521,1,6,,1,0,0,96,0,0,100.0,1.1412358374885418
96,"[('2', 0.9112937999889255)]",2,0.9112937999889255,2,7,424.1753811999224,1,0,0,97,0,0,100.0,1.1388653010194738
97,"[('2', 0.6933584000216797)]",2,0.6933584000216797,2,7,,1,0,0,98,0,0,100.0,1.134319312233782
98,"[('1', 0.7483524000272155)]",1,0.7483524000272155,1,6,,1,0,0,99,0,0,100.0,1.1304206565549277
99,"[('2', 0.5609678000910208)]",2,0.5609678000910208,2,7,,1,0,0,100,0,0,100.0,1.1247261279902887
100,"[('1', 0.8807841999223456)]",1,0.8807841999223456,1,6,,1,0,0,101,0,0,100.0,1.1223108613757546
101,"[('1', 1.3263933999696746)]",1,1.3263933999696746,1,6,,1,0,0,102,0,0,100.0,1.1243116705776557
