,subj_key_resp,subj_key_resp_first,rxn_time,corr_resp,corr_resp_left,running_time,hits,corr_skips,false_alarm,misses,total_hits,total_corr_skips,total_false_alarm,total_misses,overall_accuracy,hit_accuracy,false_alarm_rate,avg_rxn_time
85,,,,0.0,0.0,,0,1,0,0,21,53,2,2,94.87179487179488,91.30434782608695,2.5641025641025643,2.0165912130412282
86,,,,0.0,0.0,,0,1,0,0,21,54,2,2,94.9367088607595,91.30434782608695,2.5316455696202533,2.0165912130412282
87,"[('1', 0.5117389999795705)]",1,0.5117389999795705,1.0,7.0,,1,0,0,0,22,54,2,2,95.0,91.66666666666667,2.5,1.9538890374969924
88,,,,,,385.83105669997167,0,0,0,0,22,54,2,2,95.0,91.66666666666667,2.5,1.9538890374969924
89,,,,0.0,0.0,,0,1,0,0,22,55,2,2,95.06172839506173,91.66666666666667,2.4691358024691357,1.9538890374969924
90,,,,0.0,0.0,,0,1,0,0,22,56,2,2,95.1219512195122,91.66666666666667,2.4390243902439024,1.9538890374969924
91,,,,0.0,0.0,,0,1,0,0,22,57,2,2,95.18072289156626,91.66666666666667,2.4096385542168677,1.9538890374969924
92,"[('1', 0.540245300042443)]",1,0.540245300042443,1.0,7.0,,1,0,0,0,23,57,2,2,95.23809523809524,92.0,2.380952380952381,1.8973432879988104
93,,,,0.0,0.0,,0,1,0,0,23,58,2,2,95.29411764705883,92.0,2.3529411764705883,1.8973432879988104
94,"[('1', 0.4844156999606639)]",1,0.4844156999606639,1.0,7.0,,1,0,0,0,24,58,2,2,95.34883720930233,92.3076923076923,2.3255813953488373,1.8429999192281126
95,,,,0.0,0.0,,0,1,0,0,24,59,2,2,95.40229885057471,92.3076923076923,2.2988505747126435,1.8429999192281126
96,,,,0.0,0.0,,0,1,0,0,24,60,2,2,95.45454545454545,92.3076923076923,2.272727272727273,1.8429999192281126
97,,,,0.0,0.0,,0,1,0,0,24,61,2,2,95.50561797752809,92.3076923076923,2.247191011235955,1.8429999192281126
98,"[('1', 0.5252186999423429)]",1,0.5252186999423429,1.0,7.0,,1,0,0,0,25,61,2,2,95.55555555555556,92.5925925925926,2.2222222222222223,1.7941932074027136
99,,,,,,457.95987580006476,0,0,0,0,25,61,2,2,95.55555555555556,92.5925925925926,2.2222222222222223,1.7941932074027136
100,"[('1', 0.573739800020121)]",1,0.573739800020121,1.0,7.0,,1,0,0,0,26,61,2,2,95.6043956043956,92.85714285714286,2.197802197802198,1.750605585710478
101,,,,0.0,0.0,,0,1,0,0,26,62,2,2,95.65217391304348,92.85714285714286,2.1739130434782608,1.750605585710478
102,,,,0.0,0.0,,0,1,0,0,26,63,2,2,95.6989247311828,92.85714285714286,2.150537634408602,1.750605585710478
103,,,,0.0,0.0,,0,1,0,0,26,64,2,2,95.74468085106383,92.85714285714286,2.127659574468085,1.750605585710478
104,"[('1', 0.4316363000543788), ('1', 1.9095000000670552)]",1,0.4316363000543788,1.0,7.0,,1,0,0,0,27,64,2,2,95.78947368421052,93.10344827586206,2.1052631578947367,1.7051238862050955
105,,,,0.0,0.0,,0,1,0,0,27,65,2,2,95.83333333333333,93.10344827586206,2.0833333333333335,1.7051238862050955
106,"[('1', 0.47787519998382777)]",1,0.47787519998382777,1.0,7.0,,1,0,0,0,28,65,2,2,95.87628865979381,93.33333333333333,2.0618556701030926,1.6642155966643866
107,,,,0.0,0.0,,0,1,0,0,28,66,2,2,95.91836734693878,93.33333333333333,2.0408163265306123,1.6642155966643866
108,,,,0.0,0.0,,0,1,0,0,28,67,2,2,95.95959595959596,93.33333333333333,2.0202020202020203,1.6642155966643866
109,,,,0.0,0.0,,0,1,0,0,28,68,2,2,96.0,93.33333333333333,2.0,1.6642155966643866
110,,,,,,504.14968210004736,0,0,0,0,28,68,2,2,96.0,93.33333333333333,2.0,1.6642155966643866
111,,,,0.0,0.0,,0,1,0,0,28,69,2,2,96.03960396039604,93.33333333333333,1.9801980198019802,1.6642155966643866
112,"[('1', 0.8429663999704644)]",1,0.8429663999704644,1.0,7.0,,1,0,0,0,29,69,2,2,96.07843137254902,93.54838709677419,1.9607843137254901,1.6377236870936147
113,,,,0.0,0.0,,0,1,0,0,29,70,2,2,96.11650485436893,93.54838709677419,1.941747572815534,1.6377236870936147
114,,,,0.0,0.0,,0,1,0,0,29,71,2,2,96.15384615384616,93.54838709677419,1.9230769230769231,1.6377236870936147
115,"[('1', 0.6395281000295654)]",1,0.6395281000295654,1.0,7.0,,1,0,0,0,30,71,2,2,96.19047619047619,93.75,1.9047619047619047,1.6065300749978633
116,,,,0.0,0.0,,0,1,0,0,30,72,2,2,96.22641509433963,93.75,1.8867924528301887,1.6065300749978633
117,,,,0.0,0.0,,0,1,0,0,30,73,2,2,96.26168224299066,93.75,1.8691588785046729,1.6065300749978633
118,,,,0.0,0.0,,0,1,0,0,30,74,2,2,96.29629629629629,93.75,1.8518518518518519,1.6065300749978633
119,,,,1.0,7.0,,0,0,0,1,30,74,2,3,95.41284403669725,90.9090909090909,1.834862385321101,1.6065300749978633
120,,,,0.0,0.0,,0,1,0,0,30,75,2,3,95.45454545454545,90.9090909090909,1.8181818181818181,1.6065300749978633
121,,,,,,552.3484863999765,0,0,0,0,30,75,2,3,95.45454545454545,90.9090909090909,1.8181818181818181,1.6065300749978633
122,,,,0.0,0.0,,0,1,0,0,30,76,2,3,95.49549549549549,90.9090909090909,1.8018018018018018,1.6065300749978633
123,,,,0.0,0.0,,0,1,0,0,30,77,2,3,95.53571428571429,90.9090909090909,1.7857142857142858,1.6065300749978633
124,"[('1', 0.5370110999792814)]",1,0.5370110999792814,1.0,7.0,,1,0,0,0,31,77,2,3,95.57522123893806,91.17647058823529,1.7699115044247788,1.5741204090882093
125,,,,1.0,7.0,,0,0,0,1,31,77,2,4,94.73684210526316,88.57142857142857,1.7543859649122806,1.5741204090882093
126,,,,0.0,0.0,,0,1,0,0,31,78,2,4,94.78260869565217,88.57142857142857,1.7391304347826086,1.5741204090882093
127,,,,0.0,0.0,,0,1,0,0,31,79,2,4,94.82758620689656,88.57142857142857,1.7241379310344827,1.5741204090882093
128,,,,1.0,7.0,,0,0,0,1,31,79,2,5,94.01709401709402,86.11111111111111,1.7094017094017093,1.5741204090882093
129,,,,0.0,0.0,,0,1,0,0,31,80,2,5,94.0677966101695,86.11111111111111,1.694915254237288,1.5741204090882093
130,,,,0.0,0.0,,0,1,0,0,31,81,2,5,94.11764705882354,86.11111111111111,1.680672268907563,1.5741204090882093
131,,,,0.0,0.0,,0,1,0,0,31,82,2,5,94.16666666666667,86.11111111111111,1.6666666666666667,1.5741204090882093
132,,,,,,602.577966800076,0,0,0,0,31,82,2,5,94.16666666666667,86.11111111111111,1.6666666666666667,1.5741204090882093
133,,,,0.0,0.0,,0,1,0,0,31,83,2,5,94.21487603305785,86.11111111111111,1.6528925619834711,1.5741204090882093
134,"[('1', 0.9890664999838918)]",1,0.9890664999838918,1.0,7.0,,1,0,0,0,32,83,2,5,94.26229508196721,86.48648648648648,1.639344262295082,1.5569129411733764
135,,,,0.0,0.0,,0,1,0,0,32,84,2,5,94.3089430894309,86.48648648648648,1.6260162601626016,1.5569129411733764
136,,,,0.0,0.0,,0,1,0,0,32,85,2,5,94.35483870967742,86.48648648648648,1.6129032258064515,1.5569129411733764
137,,,,0.0,0.0,,0,1,0,0,32,86,2,5,94.4,86.48648648648648,1.6,1.5569129411733764
138,,,,0.0,0.0,,0,1,0,0,32,87,2,5,94.44444444444444,86.48648648648648,1.5873015873015872,1.5569129411733764
139,,,,1.0,7.0,,0,0,0,1,32,87,2,6,93.7007874015748,84.21052631578948,1.5748031496062993,1.5569129411733764
140,,,,0.0,0.0,,0,1,0,0,32,88,2,6,93.75,84.21052631578948,1.5625,1.5569129411733764
141,,,,0.0,0.0,,0,1,0,0,32,89,2,6,93.7984496124031,84.21052631578948,1.550387596899225,1.5569129411733764
142,"[('1', 0.4280822000000626)]",1,0.4280822000000626,1.0,7.0,,1,0,0,0,33,89,2,6,93.84615384615384,84.61538461538461,1.5384615384615385,1.5246606342827103
143,,,,,,650.7392559000291,0,0,0,0,33,89,2,6,93.84615384615384,84.61538461538461,1.5384615384615385,1.5246606342827103
144,,,,0.0,0.0,,0,1,0,0,33,90,2,6,93.89312977099236,84.61538461538461,1.5267175572519085,1.5246606342827103
145,"[('1', 0.5566622000187635)]",1,0.5566622000187635,1.0,7.0,,1,0,0,0,34,90,2,6,93.93939393939394,85.0,1.5151515151515151,1.4977717888864897
146,,,,0.0,0.0,,0,1,0,0,34,91,2,6,93.98496240601504,85.0,1.5037593984962405,1.4977717888864897
147,,,,0.0,0.0,,0,1,0,0,34,92,2,6,94.02985074626865,85.0,1.492537313432836,1.4977717888864897
